Vendor_Name,Item_Name,UOM,Unit_Price,Date
Local Purchase,Sugar,Kg,39.0,2022-11-06
Local Purchase,M Thuvara,Kg,120.0,2022-11-06
Local Purchase,Coriander Powder-loose,Kg,180.0,2022-11-06
Local Purchase,Turmeric Powder,Kg,170.0,2022-11-06
Local Purchase-Gas AGency,Gas-LPG-IOCL,Nos,1590.0,2022-11-07
KTP Vegitables,Onion-Veg,Kg,39.0,2022-11-07
KTP Vegitables,cabbage-veg,Kg,24.0,2022-11-07
KTP Vegitables,Capcicum-Veg,Kg,80.0,2022-11-09
KTP Vegitables,Potato-Veg,Kg,38.0,2022-11-09
Local Purchase,Rice-Ponni,Kg,34.0,2022-11-11
Local Purchase,Tandoori Chicken Masala-Bakers,Pkt,68.0,2022-11-11
Local Purchase,Chicken-Masala-quality,Pkt,28.0,2022-11-11
Local Purchase,Turmeric Powder,Kg,140.0,2022-11-11
MBS Traders,Palm Oil - Refined Oil,Pkt,108.0,2022-11-11
MBS Traders,Agarbathi,Pkt,10.0,2022-11-11
KTP Vegitables,Onion-Veg,Kg,36.0,2022-11-11
KTP Vegitables,Capcicum-Veg,Kg,77.78,2022-11-11
City Mart Supermarket,Salt Powder,Pkt,12.0,2022-11-12
KTP Vegitables,Onion-Veg,Kg,35.0,2022-11-12
KTP Vegitables,cabbage-veg,Kg,27.14,2022-11-12
KTP Vegitables,Cucumber-veg,Kg,30.0,2022-11-12
Isha Fresh Vegitables (Hisham),Red yellow capsicum,Kg,190.0,2022-11-14
Isha Fresh Vegitables (Hisham),Parsely-Veg,Kg,220.0,2022-11-14
Local Purchase,Rice-ponni,Kg,37.0,2022-11-14
Local Purchase,Atta Loose,Kg,40.0,2022-11-14
Local Purchase,Chicken Masala-Eastern,Pkt,42.0,2022-11-14
Local Purchase,Tea Kannan Devan,Pkt,30.0,2022-11-14
Local Purchase,Palm Oil - Refined Oil,Pkt,103.0,2022-11-14
MBS Traders,Tissue,Nos,11.0,2022-11-14
Local Purchase,Floor Cleaning Liquid Soad,Nos,230.0,2022-11-14
Local Purchase,Mustard-Oil,Nos,105.0,2022-11-15
City Mart Supermarket,diya wicks,Pkt,30.0,2022-11-15
Local Purchase,Stapler Pin,Nos,10.0,2022-11-15
Local Purchase,Chicken-Whole-Staff,Kg,127.0,2022-11-16
KTP Vegitables,Cauli Flower-veg,Kg,35.56,2022-11-15
KTP Vegitables,Onion-Veg,Kg,32.0,2022-11-17
Local Purchase,Cash Voucher Book,Nos,20.0,2022-11-17
Local Purchase,Mop Cotton,Nos,55.0,2022-11-17
Five Star Traders,Coriander Powder-loose,Kg,154.0,2022-11-17
Five Star Traders,Sugar,Kg,39.0,2022-11-17
City Mart Supermarket,UrumbPodi-Fenval,Nos,35.0,2022-11-18
Local Purchase,Butter Scotch Ice-cream,Pkt,639.5,2022-11-18
Local Purchase,bucket-Plastic,Nos,185.0,2022-11-18
Local Purchase,Mug-Steel,Nos,42.0,2022-11-18
KTP Vegitables,Onion-Veg,Kg,30.0,2022-11-19
KTP Vegitables,Potato-Veg,Kg,33.0,2022-11-20
City Mart Supermarket,milk-Milma-525ml,Pkt,25.0,2022-11-20
City Mart Supermarket,Curd-Sheethal-400g,Pkt,27.0,2022-11-20
City Mart Supermarket,Curd-Elanad-500ml,Pkt,30.0,2022-11-20
Five Star Traders,Ponni Rice,Kg,36.0,2022-11-21
Five Star Traders,Black Grapes,Kg,180.0,2022-11-21
Five Star Traders,Cashew nut,Kg,850.0,2022-11-21
MBS Traders,plastic Cover-1kg,Pkt,170.0,2022-11-21
KTP Vegitables,Green Chilly-Veg,Kg,48.0,2022-11-22
KTP Vegitables,Cucumber-veg,Kg,32.0,2022-11-22
KTP Vegitables,Pineapple-Veg,Kg,60.0,2022-11-22
City Mart Supermarket,Exo Steel Wool,Nos,15.0,2022-11-23
Local Purchase,Chicken-Whole-Staff,Kg,121.82,2022-11-24
City Mart Supermarket,Milk-Milma,Pkt,23.0,2022-11-24
KTP Vegitables,Cauli Flower-veg,Kg,38.46,2022-11-24
Mansoor Traders Pattambi,Frozen Sweet Corn,Pkt,128.0,2022-11-26
Mansoor Traders Pattambi,Wooden Spoon-140mm,Pkt,78.0,2022-11-26
KTP Vegitables,Cauli Flower-veg,Kg,43.53,2022-11-26
City Mart Supermarket,Egg,Nos,6.4,2022-11-27
Isha Fresh Vegitables (Hisham),Red Yellow Capcicum,Kg,240.0,2022-11-27
Isha Fresh Vegitables (Hisham),Brocoli,Kg,230.0,2022-11-27
Local Purchase,W/L Mouse Glid Pro,Nos,750.0,2022-11-27
Five Star Traders,M Thuvara,Kg,110.0,2022-11-28
Five Star Traders,Soya loose,Kg,128.0,2022-11-28
Five Star Traders,Exo Steel Wool,Nos,4.9,2022-11-28
KTP Vegitables,Carrot-Veg,Kg,64.0,2022-11-29
Local Purchase,M Seal,Pkt,20.0,2022-11-30
Local Purchase,Rat Trap,Nos,100.0,2022-11-30
City Mart Supermarket,Note Book,Nos,30.0,2022-11-30
Local Purchase,Gas Tube,Nos,320.0,2022-11-30
Lakhsyam Foods,Pizza sauce premix,Kg,283.5,2022-12-20
Lakhsyam Foods,BBQ Wings,Kg,446.88,2022-12-20
Koonathil Traders,AMUL Mozzarella Cheese Block 1Kg,Kg,330.0,2022-12-01
