Date,Item,Opening_stock,Closing_stock,Actual,Expected,Difference
2025-04-13,cheese,10350.0,7500.0,2850.0,2815.0,35.0
2025-04-12,cheese,13200.0,10350.0,2850.0,2725.0,125.0
2025-04-11,cheese,16350.000000000002,13200.0,3150.0,2895.0,255.0
2025-04-11,cheese,16350.000000000002,13200.0,3150.0,2895.0,255.0
2025-04-10,cheese,18400.0,16350.000000000002,2050.0,1920.0,130.0
2025-04-10,cheese,18400.0,16350.000000000002,2050.0,1920.0,130.0
2025-04-09,cheese,19800.0,18400.0,1400.0,1305.0,95.0
2025-04-08,cheese,21900.0,19800.0,2100.0,2035.0,65.0
2025-04-07,cheese,23650.0,21900.0,1750.0,1680.0,70.0
2025-04-06,cheese,26800.0,23650.0,3150.0,3065.0,85.0
2025-04-05,cheese,29100.0,26800.0,2300.0,2255.0,45.0
2025-04-04,cheese,30850.0,29100.0,1750.0,1710.0,40.0
2025-04-03,cheese,33400.0,30850.0,2550.0,2460.0,90.0
2025-04-02,cheese,36800.0,33400.0,3400.0,3488.0,-88.0
2025-04-01,cheese,40150.0,36800.0,3350.0,3395.0,-45.0
2025-03-31,cheese,19200.0,16149.999999999998,3050.0,2990.0,60.0
2025-03-30,cheese,22360.0,19200.0,3160.0,3043.0,117.0
2025-03-29,cheese,23720.0,22360.0,1360.0,1310.0,50.0
2025-03-29,cheese,23720.0,22360.0,1360.0,1310.0,50.0
2025-03-28,cheese,25000.0,23720.0,1280.0,1210.0,70.0
2025-03-27,cheese,26480.0,25000.0,1480.0,1488.0,-8.0
2025-03-26,cheese,27600.0,26480.0,1120.0,1150.0,-30.0
2025-03-25,cheese,28750.0,27600.0,1150.0,1130.0,20.0
2025-03-24,cheese,6000.0,4750.0,1250.0,1300.0,-50.0
2025-03-23,cheese,7600.0,6000.0,1600.0,1565.0,35.0
2025-03-22,cheese,9700.0,7600.0,2100.0,2075.0,25.0
2025-03-21,cheese,11220.0,9700.0,1520.0,1550.0,-30.0
2025-03-20,cheese,13000.0,11220.0,1780.0,1795.0,-15.0
2025-03-19,cheese,14450.0,13000.0,1450.0,1435.0,15.0
2025-03-18,cheese,15900.0,14450.0,1450.0,1390.0,60.0
2025-03-17,cheese,16450.0,15900.0,550.0,605.0,-55.0
2025-03-16,cheese,18000.0,16450.0,1550.0,1595.0,-45.0
2025-03-15,cheese,19750.0,18000.0,1750.0,1813.0,-63.0
2025-03-14,cheese,21050.0,19750.0,1300.0,1365.0,-65.0
2025-03-13,cheese,22200.0,21050.0,1150.0,1163.0,-13.0
2025-03-12,cheese,22550.0,22200.0,350.0,388.0,-38.0
2025-03-11,cheese,23350.0,22550.0,800.0,765.0,35.0
2025-03-10,cheese,24600.0,23350.0,1250.0,1340.0,-90.0
2025-03-09,cheese,26600.0,24600.0,2000.0,1900.0,100.0
2025-03-08,cheese,28550.0,26600.0,1950.0,2035.0,-85.0
2025-03-07,cheese,29400.0,28550.0,850.0,880.0,-30.0
2025-03-06,cheese,30100.0,29400.0,700.0,735.0,-35.0
2025-03-05,cheese,30900.0,30100.0,800.0,830.0,-30.0
2025-03-04,cheese,32000.0,30900.0,1100.0,1112.0,-12.0
2025-03-03,cheese,9300.0,8000.0,1300.0,1315.0,-15.0
2025-03-02,cheese,10900.0,9300.0,1600.0,1660.0,-60.0
2025-03-01,cheese,13650.0,10900.0,2750.0,2719.0,31.0
2025-03-01,cheese,13650.0,10900.0,2750.0,2719.0,31.0
2025-02-28,cheese,15500.0,13650.0,1850.0,1883.0,-33.0
